"Comune";"Provincia";"Resa_perc";"Data_frangitura"
"Recco";"GENOVA";22;2017-10-07
"Recco";"GENOVA";24;2017-10-21
"Riomaggiore";"LA SPEZIA";11,4;2017-10-09
"Riva Ligure";"IMPERIA";21;2017-10-03
"Sanremo";"IMPERIA";21;2017-10-09
"Sanremo";"IMPERIA";26;2017-10-16
"Sanremo";"IMPERIA";24,4;2017-10-18
"Santa Margherita Ligure";"GENOVA";17,5;2017-10-11
"Santo Stefano di Magra";"LA SPEZIA";11,5;2017-10-09
"Santo Stefano di Magra";"LA SPEZIA";19;2017-10-20
"Santo Stefano di Magra";"LA SPEZIA";12;2017-10-17
"Santo Stefano di Magra";"LA SPEZIA";14;2017-10-10
"Santo Stefano di Magra";"LA SPEZIA";16;2017-10-09
"Sarzana";"LA SPEZIA";17,9;2017-10-20
"Sarzana";"LA SPEZIA";12;2017-10-17
"Sarzana";"LA SPEZIA";19,7;2017-10-24
"Sarzana";"LA SPEZIA";12;2017-10-17
"Sarzana";"LA SPEZIA";13;2017-10-09
"Savona";"SAVONA";16;2017-10-14
"Savona";"SAVONA";31;2017-10-14
"Savona";"SAVONA";19,5;2017-10-20
"Serra Riccò";"GENOVA";14;2017-10-20
"Sestri Levante";"GENOVA";16;2017-09-29
"Sestri Levante";"GENOVA";19;2017-10-20
"Sestri Levante";"GENOVA";20;2017-10-10
"Sestri Levante";"GENOVA";20;2017-10-10
"Sestri Levante";"GENOVA";17,5;2017-10-02
"Sestri Levante";"GENOVA";21;2017-10-05
"Sestri Levante";"GENOVA";17;2017-10-16
"Soldano";"IMPERIA";20;2017-10-18
"Sori";"GENOVA";18;2017-09-29
"Sori";"GENOVA";16;2017-10-07
"Sori";"GENOVA";21;2017-10-03
"Spotorno";"SAVONA";17,5;2017-10-02
"Taggia";"IMPERIA";18;2017-10-17
"Taggia";"IMPERIA";18;2017-10-17
"Taggia";"IMPERIA";17;2017-10-13
"Taggia";"IMPERIA";18;2017-10-17
"Taggia";"IMPERIA";18;2017-10-17
"Taggia";"IMPERIA";11,9;2017-10-19
"Tovo San Giacomo";"SAVONA";20;2017-10-17
"Vado Ligure";"SAVONA";15,7;2017-10-22
"Vallebona";"IMPERIA";26;2017-10-20
"Vezzano Ligure";"LA SPEZIA";17;2017-10-16
"Vezzano Ligure";"LA SPEZIA";21,7;2017-10-19
"Vezzano Ligure";"LA SPEZIA";14,5;2017-10-12
"Vezzano Ligure";"LA SPEZIA";15;2017-10-09
"Vezzano Ligure";"LA SPEZIA";14,4;2017-10-01
"Vezzano Ligure";"LA SPEZIA";17;2017-10-16
"Vezzano Ligure";"LA SPEZIA";15;2017-10-09
"Vezzano Ligure";"LA SPEZIA";16,4;2017-10-18
"Vezzano Ligure";"LA SPEZIA";16,5;2017-10-09
"Zoagli";"GENOVA";22;2017-10-19
"Zoagli";"GENOVA";18,5;2017-10-12
